person_id,year,name,age,age_group,gender,ethnicity,marital_status,education_level,employment_status,num_children,disability_flag,primary_language,immigration_status,housing_tenure,annual_income_bracket,socio_economic_status,household_type,overcrowding_flag,damp_and_mould,single_parent_flag,council_tax_arrears,eviction_flag,history_temp_accommodation,temp_accommodation_status,familiar_domestic_abuse_flag,social_worker_involvement,youth_justice_history,school_attendance,future_homeless,risk_score
b11efed0,2022,Melissa Brewer,4,0‑17,Male,White‑British,Married/Civil partnership,Vocational,Employed‑full‑time,0,0,English,Settled,Living with relatives,£30‑45k,High,Private,0,0,0,1,0,0,None,0,0,0,Full,0,0.07
5b2243a7,2022,Ricky Davis II,32,25‑34,Female,White‑British,Single,Vocational,Employed‑part‑time,0,0,Polish,Refugee,Owner‑occupied,£30‑45k,Medium,Public,0,0,0,0,0,0,None,1,1,0,N/A,0,0.12000000000000001
e75de99e,2022,Elizabeth Perkins,48,45‑54,Male,White‑British,Married/Civil partnership,A‑Level,Student,2,0,English,British citizen,Social housing,<£10k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
d8881a39,2022,Joseph Coleman,41,35‑44,Female,White‑British,Single,Vocational,Employed‑part‑time,1,0,English,British citizen,Private rented,£45‑60k,Low,Private,0,0,0,0,0,0,None,1,0,0,N/A,0,0.07
52b9cf23,2022,Erin Warner,69,65+,Male,White‑British,Single,A‑Level,Disabled‑not‑working,3,0,English,British citizen,Private rented,£30‑45k,Medium,Private,0,0,0,0,0,True,Hostel,0,0,0,N/A,0,0.12000000000000001
6650c8c1,2022,David Martinez,52,45‑54,Female,Mixed,Divorced,A‑Level,Employed‑full‑time,1,0,English,Asylum seeker,Owner‑occupied,£30‑45k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
0a44fd1d,2022,Bryan Herrera,28,25‑34,Male,White‑British,Married/Civil partnership,No formal,Unemployed,0,1,English,Pre‑settled,Owner‑occupied,<£10k,Low,Private,0,0,0,1,0,0,None,0,0,0,N/A,0,0.07
1e8c3581,2022,Cathy Robinson,43,35‑44,Male,White‑British,Married/Civil partnership,Postgraduate,Disabled‑not‑working,2,0,English,British citizen,Private rented,£45‑60k,Low,Private,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
96729d97,2022,Dr. William Warren,44,35‑44,Female,White‑British,Divorced,GCSE/O‑Level,Unemployed,0,0,Other,British citizen,Owner‑occupied,£30‑45k,Low,Private,0,0,0,0,0,True,Hostel,0,0,0,N/A,0,0.12000000000000001
708fdbaf,2022,Brian Lee,74,65+,Female,White‑British,Married/Civil partnership,A‑Level,Employed‑full‑time,1,0,English,British citizen,Homeless/temporary,£10‑20k,Low,Private,0,0,0,0,1,True,Hostel,0,0,0,N/A,1,0.17
94243d30,2022,Christopher Smith,32,25‑34,Female,White‑British,Divorced,Vocational,Disabled‑not‑working,1,0,English,British citizen,Social housing,£45‑60k,Medium,Public,0,0,0,1,0,0,None,0,0,0,N/A,0,0.07
b431e042,2022,Denise Mccann,45,45‑54,Female,White‑British,Cohabiting,A‑Level,Retired,0,0,English,British citizen,Social housing,£20‑30k,High,Private,0,0,0,1,0,0,None,0,0,0,N/A,0,0.07
b8502dbb,2022,Melissa Martinez,48,45‑54,Male,White‑British,Married/Civil partnership,GCSE/O‑Level,Student,0,0,English,British citizen,Private rented,<£10k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
08828bdf,2022,Katherine Salas,37,35‑44,Male,Other,Married/Civil partnership,No formal,Retired,1,0,English,Pre‑settled,Owner‑occupied,£45‑60k,Low,Private,1,0,0,0,0,0,None,0,0,0,N/A,0,0.07
67bbb680,2022,Julie Alexander,32,25‑34,Male,White‑British,Single,Undergraduate,Employed‑full‑time,2,0,English,Settled,Homeless/temporary,<£10k,Low,Private,0,0,0,1,1,0,None,0,0,0,N/A,0,0.12000000000000001
4fce9fdf,2022,Anthony Everett,56,55‑64,Male,Black‑Caribbean,Single,Vocational,Disabled‑not‑working,0,0,English,British citizen,Social housing,>£60k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
f40c8a56,2022,Rodney Morales,25,25‑34,Male,White‑British,Married/Civil partnership,No formal,Employed‑full‑time,0,0,English,British citizen,Owner‑occupied,£20‑30k,High,Public,0,0,0,0,1,0,None,0,0,0,N/A,0,0.07
cc20d9e4,2022,Mark Brown,12,0‑17,Non‑binary,White‑British,Single,A‑Level,Student,2,0,English,British citizen,Owner‑occupied,>£60k,Medium,Public,0,0,0,0,0,0,None,0,0,0,Partial,0,0.02
d1a15a3f,2022,Justin Torres,23,18‑24,Male,White‑British,Married/Civil partnership,A‑Level,Employed‑full‑time,1,0,English,British citizen,Owner‑occupied,£30‑45k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
f66e5f54,2022,Bailey Duran DDS,8,0‑17,Male,White‑British,Cohabiting,GCSE/O‑Level,Disabled‑not‑working,1,0,Urdu,Refugee,Owner‑occupied,£20‑30k,Medium,Private,0,0,0,1,0,0,None,0,0,0,Full,0,0.07
81253c48,2022,Courtney Mills,34,25‑34,Male,White‑British,Widowed,GCSE/O‑Level,Student,1,1,English,British citizen,Private rented,£45‑60k,Low,Private,0,1,0,0,0,True,Supported housing,1,0,0,N/A,0,0.22
3c55b8f8,2022,Jeremy Dalton,40,35‑44,Female,White‑British,Single,GCSE/O‑Level,Employed‑full‑time,0,0,English,British citizen,Owner‑occupied,>£60k,Medium,Public,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
2ea0e9a3,2022,Elizabeth Oliver DDS,19,18‑24,Male,Black‑African,Single,GCSE/O‑Level,Employed‑full‑time,2,0,English,British citizen,Social housing,£45‑60k,Low,Public,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
68f8fdd0,2022,Theresa Clark,50,45‑54,Female,White‑British,Married/Civil partnership,A‑Level,Employed‑full‑time,0,0,English,British citizen,Private rented,£20‑30k,High,Private,0,0,0,0,0,True,Rough sleeping,0,0,0,N/A,1,0.12000000000000001
242e536d,2022,Matthew Moore,38,35‑44,Female,White‑British,Married/Civil partnership,No formal,Student,0,0,English,British citizen,Owner‑occupied,£45‑60k,Medium,Public,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
f00f92a9,2022,Benjamin Smith,51,45‑54,Female,White‑British,Single,No formal,Employed‑full‑time,0,0,English,Refugee,Private rented,£45‑60k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
1a255700,2022,Kirk Carter,50,45‑54,Male,Other,Widowed,No formal,Retired,1,0,English,Other,Living with relatives,£20‑30k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
d356840b,2022,Michael Warner,48,45‑54,Male,White‑British,Widowed,GCSE/O‑Level,Employed‑part‑time,0,0,English,Settled,Owner‑occupied,£20‑30k,Medium,Private,0,1,0,0,0,0,None,0,0,0,N/A,0,0.07
