person_id,year,name,age,age_group,gender,ethnicity,marital_status,education_level,employment_status,num_children,disability_flag,primary_language,immigration_status,housing_tenure,annual_income_bracket,socio_economic_status,household_type,overcrowding_flag,damp_and_mould,single_parent_flag,council_tax_arrears,eviction_flag,history_temp_accommodation,temp_accommodation_status,familiar_domestic_abuse_flag,social_worker_involvement,youth_justice_history,school_attendance,future_homeless,risk_score
770da115,2021,Sandra Aguilar,19,18‑24,Male,White‑Other,Married/Civil partnership,GCSE/O‑Level,Disabled‑not‑working,2,0,English,British citizen,Owner‑occupied,£30‑45k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
38f79e53,2021,Cameron Parker,38,35‑44,Male,Mixed,Single,A‑Level,Disabled‑not‑working,1,0,English,British citizen,Owner‑occupied,£45‑60k,High,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
56fb2035,2021,Rebecca Valencia,32,25‑34,Female,White‑British,Cohabiting,Undergraduate,Employed‑full‑time,1,0,English,Asylum seeker,Owner‑occupied,£30‑45k,High,Private,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
47e3f798,2021,Christine Wright,32,25‑34,Male,Black‑African,Cohabiting,GCSE/O‑Level,Employed‑full‑time,3,0,Polish,British citizen,Social housing,£45‑60k,High,Private,0,0,1,0,0,True,Hostel,0,0,0,N/A,0,0.17
5f91e2f4,2021,Richard Henson,35,35‑44,Male,White‑British,Married/Civil partnership,Vocational,Student,0,1,English,British citizen,Owner‑occupied,£20‑30k,Low,Public,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
06211bd6,2021,Marc Moore,43,35‑44,Male,White‑British,Cohabiting,A‑Level,Employed‑part‑time,1,1,English,British citizen,Social housing,£45‑60k,Medium,Public,0,0,1,0,0,0,None,0,0,0,N/A,0,0.07
7acbf8c2,2021,Sharon Cherry,23,18‑24,Male,White‑British,Single,GCSE/O‑Level,Student,0,0,English,British citizen,Social housing,£20‑30k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
9b80d420,2021,Sierra Johnson,50,45‑54,Male,White‑British,Single,A‑Level,Student,0,0,Polish,British citizen,Living with relatives,£45‑60k,Medium,Public,0,0,1,0,0,True,Hostel,0,0,0,N/A,0,0.17
025ac06b,2021,Evelyn Galvan,27,25‑34,Male,White‑British,Married/Civil partnership,GCSE/O‑Level,Retired,1,0,English,Pre‑settled,Owner‑occupied,£30‑45k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
cc22ef7e,2021,Sharon Cochran,17,0‑17,Female,White‑British,Single,No formal,Employed‑part‑time,0,0,English,British citizen,Owner‑occupied,<£10k,Low,Private,0,0,0,0,0,True,B&B,0,0,0,Full,0,0.12000000000000001
a303a657,2021,Richard Rodriguez,41,35‑44,Female,White‑British,Married/Civil partnership,Vocational,Employed‑full‑time,0,1,English,Settled,Private rented,£20‑30k,Low,Private,1,0,0,0,0,True,Supported housing,0,0,0,N/A,0,0.17
aaa3c567,2021,Shannon Walker,35,35‑44,Male,White‑British,Single,GCSE/O‑Level,Employed‑part‑time,1,1,Other,Refugee,Social housing,>£60k,Low,Private,0,1,0,0,0,True,B&B,0,0,0,N/A,1,0.17
50349040,2021,Julia Torres,16,0‑17,Female,White‑British,Single,Undergraduate,Employed‑full‑time,1,0,English,British citizen,Owner‑occupied,£30‑45k,Medium,Private,0,0,0,0,0,0,None,1,0,0,Full,0,0.07
cc7d07ea,2021,Crystal Johnson,57,55‑64,Male,White‑British,Single,GCSE/O‑Level,Employed‑full‑time,4,0,English,Refugee,Homeless/temporary,£45‑60k,Low,Public,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
f57f613f,2021,Garrett Lin,40,35‑44,Female,White‑British,Married/Civil partnership,Vocational,Employed‑full‑time,1,0,English,Settled,Private rented,<£10k,Medium,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
2fe7eb9c,2021,Diana May,35,35‑44,Male,White‑British,Married/Civil partnership,No formal,Employed‑full‑time,0,0,Other,British citizen,Social housing,£20‑30k,Low,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
928d41f0,2021,William Herrera,25,25‑34,Female,White‑British,Married/Civil partnership,GCSE/O‑Level,Employed‑full‑time,0,0,Mandarin,British citizen,Living with relatives,£30‑45k,High,Private,0,0,0,0,0,0,None,0,0,0,N/A,0,0.02
